Paper Name,Citation,Cohort,Gait Task,High-pass filter (settings),ASR (Yes/No),ASR cut-off,IC-selection method,IC-selection threshold,Supporting quote - High-pass,Supporting quote - ASR,Supporting quote - ASR threshold,Supporting quote - IC-selection method,Supporting quote - IC-selection threshold,Filename,Notes / Cross-validation flags
Faster gait speeds reduce alpha and beta EEG spectral power from human sensorimotor cortex,"Nordin, A. D., et al., 2019",HA,Treadmill walking,1 Hz,Yes,7 SD,"Dipole/residual-variance, Other automated",dipole residual variance < 15%,"- ""Channel data were analyzed after high pass filtering at 1 Hz, down sampling to 256 Hz, extracting gait cycle epochs, and performing time-frequency analysis.""
  - ""Common EEG processing steps involved high-pass filtering channel data (1Hz) followed by preprocessing.""","- ""Notably, similar spectral power fluctuation patterns were apparent after applying ASR to single and dual layer EEG, compared to dual layer EEG processing using PCA and CCA.""
  - ""Although these parameters are adjustable, some evidence of over cleaning was apparent using ASR, which showed reduced delta and theta spectral power in 2.0 m/s walking (Figs. 3 & 4, rows 2 & 5, right column)""
  - ""Dual layer EEG processing (Fig. 2B ) was completed without additional preprocessing (3: Dual layer EEG), after frequency domain noise cancellation (4: Noise cancellation), after artifact subspace reconstruction (5: ASR), and after applying frequency domain noise cancellation to artifact components from principal component analysis and canonical component analysis (6: PCA+CCA).""
  - ""ASR is a commonly used EEG preprocessing method that relies on 0.5 s sliding window principal component analysis to correct and reconstruct non-stationary high variance EEG data based on statistical criteria from clean EEG""
  - ""Single layer EEG processing (Fig. 2A ) was completed without additional preprocessing (1: Single layer EEG) and after artifact subspace reconstruction (2: ASR) in EEGLab.""","- ""Here, we used a standing baseline for each subject during ASR and applied a 7 standard deviation cutoff based on pilot testing.""
  - ""ASR is a commonly used EEG preprocessing method that relies on 0.5 s sliding window principal component analysis to correct and reconstruct non-stationary high variance EEG data based on statistical criteria from clean EEG""","- ""Dipoles with residual variance less than 0.15 were retained for further analysis.""
  - ""We then modeled independent components as equivalent current dipoles using a three layer boundary element model and subject-specific anatomical magnetic resonance image warped to the Montreal Neurological Institute standard brain using DIPFIT and Fieldtrip function in EEGLab""
  - ""Components with flat spectra (linear slope ≥ -0.06) or those matching noise or muscle (R 2 ≥ 0.99) were rejected.""","- ""Dipoles with residual variance less than 0.15 were retained for further analysis.""
  - ""Components with flat spectra (linear slope ≥ -0.06) or those matching noise or muscle (R 2 ≥ 0.99) were rejected.""",PMC7134343.pdf,"Author/year duplicate (Nordin, A.D. et al., 2019 — 'faster gait speeds' paper). Master extraction lists a same-citation row with gait task 'Treadmill walking, Others' that likely belongs to the companion obstacle-stepping paper (PMC6423113) instead — please confirm which paper carried the 'Others' task label."
Prediction of gait intention from pre-movement EEG signals: a feasibility study,"Shafiul Hasan, S. M., et al., 2020",HA & non-PD clinical cohorts,Overground walking,"1 Hz, FIR filter",Yes,10 SD,Manual/visual,,"- """"The signal was high pass filtered by a primary FIR filter with 1 Hz cutoff frequency to get rid of the DC drift in the data.""""","- ""The ASR algorithm is a non-stationary method which uses sliding window PCA to remove unusual large-amplitude noise or artifacts.""
  - ""In this paper, ASR was used for two purposes: bad channel rejection and removal of short-time high-amplitude artifacts in continuous data.""
  - ""The cleansing process of the EEG signal was carried out in two steps using the EEGLAB toolbox: Artifact Subspace Reconstruction (ASR) [46] and Independent Component Analysis (ICA).""","- ""the SD value for repair bursts using ASR was set to 10.""
  - ""The ASR algorithm is a non-stationary method which uses sliding window PCA to remove unusual large-amplitude noise or artifacts.""","- ""The resulting independent components thus obtained were then inspected, and artefactual IC's were rejected by visual inspection.""
  - ""The artifacts might include muscle or heart components, channel noise, line noise, or others.""","- ""The artifacts might include muscle or heart components, channel noise, line noise, or others.""
  - ""The resulting independent components thus obtained were then inspected, and artefactual IC's were rejected by visual inspection.""",PMC7164221.pdf,
Corticomuscular control of walking in older people and people with parkinson's disease,"Roeder, L., et al., 2020",HA & PwPD,Treadmill walking and Overground walking,"0.5 Hz, 2nd order Butterworth","Yes, No, Maybe",,Manual/visual,,"- ""EEG signals were then band-pass filtered (2 nd order Butterworth, 0.5-70 Hz) and re-referenced to a common average reference (EEGLAB version 13.6.5) 199 , as recommended in Snyder et al. 170""
  - ""EEG channels were first visually inspected and segments with excessive noise (large-amplitude movement artefacts, EMG activity) were removed. EEG signals were then band-pass filtered (2 nd order Butterworth, 0.5-70 Hz) and re-referenced to a common average reference (EEGLAB version 13.6.5) 199 , as recommended in Snyder et al. 170""","- ""Importantly, pre-processing using ICA, ASR or AMICA yielded qualitatively similar results, which indicates that the presented results are robust for different pre-processing procedures (i.e. not dependent on the particular pre-processing algorithm used).""
  - ""We also explored the effects of different pre-processing and artefact removal techniques (such as artefact subspace reconstruction 177 [ASR] and adaptive mixture ICA 178, 179 [AMICA]) on the time-frequency results, which are presented in the Supplementary Material.""","- ""Importantly, pre-processing using ICA, ASR or AMICA yielded qualitatively similar results, which indicates that the presented results are robust for different pre-processing procedures (i.e. not dependent on the particular pre-processing algorithm used).""
  - ""We also explored the effects of different pre-processing and artefact removal techniques (such as artefact subspace reconstruction 177 [ASR] and adaptive mixture ICA 178, 179 [AMICA]) on the time-frequency results, which are presented in the Supplementary Material.""","- ""On average, 3.8 components (SD 0.9) were removed from participants in the healthy young group, 3.9 (SD 0.9) from healthy older participants, and 4.2 (SD 1.0) from participants with PD.""
  - ""Independent components containing eye blink, muscle, or movement artefacts were removed from the data.""
  - ""EEG signals were then band-pass filtered (2 nd order Butterworth, 0.5-70 Hz) and re-referenced to a common average reference (EEGLAB version 13.6.5) 199 , as recommended in Snyder et al. 170 . Subsequently, independent component analysis (ICA) was performed using the extended infomax ICA algorithm implemented in EEGLAB.""","- ""On average, 3.8 components (SD 0.9) were removed from participants in the healthy young group, 3.9 (SD 0.9) from healthy older participants, and 4.2 (SD 1.0) from participants with PD.""
  - ""EEG signals were then band-pass filtered (2 nd order Butterworth, 0.5-70 Hz) and re-referenced to a common average reference (EEGLAB version 13.6.5) 199 , as recommended in Snyder et al. 170 . Subsequently, independent component analysis (ICA) was performed using the extended infomax ICA algorithm implemented in EEGLAB. Independent components containing eye blink, muscle, or movement artefacts were removed from the data.""",PMC7031238.pdf,
"Electrocortical correlates of human levelground, slope, and stair walking","Luu, T.P., et al., 2017",HA,Overground walking,"0.1 Hz, 4th order Butterworth filter",Yes,3 SD,Dipole/residual-variance; Manual/visual,keep IC if equivalent dipoles explain > 80% of variance of IC scalp projections,"- ""the remaining EEG signals (60 channels) were high pass filtered at 0.1 Hz using a 4 th order Butterworth filter.""","- ""In this study, one min of EEG recorded during quite standing at the beginning of each session was used as baseline (calibration) data for ASR.""
  - ""Next, artifact subspace reconstruction (ASR) was applied to remove high amplitude artifacts (e.g., eye blinks, muscle burst) [18].""","- ""A sliding window (length of 500 ms) and a variance of three standard deviations were used to identify corrupted subspaces.""
  - ""Next, artifact subspace reconstruction (ASR) was applied to remove high amplitude artifacts (e.g., eye blinks, muscle burst) [18].""","- ""Only ICs in which the equivalent dipoles explained > 80% of variance of the IC scalp projections were retained for further analysis.""
  - ""Next, we visually inspected each IC scalp projection, its equivalent dipole's location, and its power spectra and removed ICs that related to non-brain artifacts (e.g., eye blink/movement, neck muscle).""
  - ""ICs that were further than three standard deviations from a cluster centroid were categorized into an outlier cluster and omitted from further analysis.""","- ""Only ICs in which the equivalent dipoles explained > 80% of variance of the IC scalp projections were retained for further analysis.""
  - ""we visually inspected each IC scalp projection, its equivalent dipole's location, and its power spectra and removed ICs that related to non-brain artifacts (e.g., eye blink/movement, neck muscle).""
  - ""We generated feature vectors (which include power spectra, IC scalp projections, and dipole locations) from the remaining ICs and used the k-means algorithm (k = 7) to obtain IC clusters across subjects.""
  - ""ICs that were further than three standard deviations from a cluster centroid were categorized into an outlier cluster and omitted from further analysis.""",PMC5708801.pdf,
Cognitive performance and brain dynamics during walking with a novel bionic foot: A pilot study,"De Pauw, K., et al., 2019",HA & non-PD clinical cohorts,Treadmill walking,0.1 Hz (IIR and Butterworth Zero Phase),No,,Manual/visual,,"- ""Butterworth Zero Phase Filters were used on EEG data, and set at a high and low pass filter of 0.1 and 6Hz, respectively (slope: 48dB/oct).""
  - ""Infinite Impulse Response Filters were set at 0.1Hz (high pass) and 30Hz (low pass).""","- ""Periodically recurring artifacts (eye and muscle artifacts), were extracted from the data using Independent Component Analysis (Classic sphering, Extended Biased Infomax), a method used to estimate sources providing noisy measurements.""
  - ""Bad components were removed taking into account the time course, matrix of weights and topographies.""
  - ""The current study demonstrated MRCPs with amplitudes within the normal range and using inverse-based modeling we showed brain activity within brain areas where we would expect brain activity during walking (i.e. sensorimotor and parietal cortices; cfr [39], [40]).""
  - ""In the current paper, active electrodes were applied. These electrodes are less susceptible to sudden changes in voltage compared to passive electrodes, which are more susceptible to sudden changes in impedance and capacitance [41].""
  - ""However, it still remains arguable whether all artifacts were removed. Indeed, current existing EEG techniques and data cleaning methods during gait are still limited, and in literature there is a debate as to how neural data containing gait-related movement artifacts is separated by ICA.""
  - ""An interesting approach for movement artifact removal is to simultaneous measure movement artifact and movement artifact plus neural signal, because this method allows for an interpolative subtraction process that could remove the movement artifact [42].""
  - ""More research is required on the combination of different methods to establish the optimal method for distinguishing neural data from artifact in EEG during human walking.""","- ""Selected good independent components were back projected to the original EEG signals.""
  - ""Bad components were removed taking into account the time course, matrix of weights and topographies.""
  - ""The main criteria to determine whether the independent component is brain-related or an artifact, are the scalp maps, the time course of the component as well as the activity power spectrum.""
  - ""Periodically recurring artifacts (eye and muscle artifacts), were extracted from the data using Independent Component Analysis (Classic sphering, Extended Biased Infomax), a method used to estimate sources providing noisy measurements.""","- ""Bad components were removed taking into account the time course, matrix of weights and topographies.""
  - ""If the weighting is set on a single channel, the independent component was removed from the dataset.""
  - ""Channel noise has been accounted for using scalp topography.""
  - ""The main criteria to determine whether the independent component is brain-related or an artifact, are the scalp maps, the time course of the component as well as the activity power spectrum.""","- ""The main criteria to determine whether the independent component is brain-related or an artifact, are the scalp maps, the time course of the component as well as the activity power spectrum. Channel noise has been accounted for using scalp topography. If the weighting is set on a single channel, the independent component was removed from the dataset.""",PMC6447229.pdf,
Human electrocortical dynamics while stepping over obstacles,"Nordin, A. D., et al., 2019",HA,Treadmill walking,1 Hz,No,,Dipole/residual-variance; Other automated,"- Reject IC if power spectra are flat (linear slope ≥ -0.06) or match noise/electromyography sensors (polynomial fit R 2 ≥ 0.99).
- Retain IC if dipole residual variance < 15% (equivalent current dipoles explaining > 85% of the scalp map).","- ""All data were high pass filtered at 1 Hz and channels with large artifacts were rejected based on statistical criteria (range, standard deviation, kurtosis) 39""
  - ""For both single and dual-layer recordings, we high pass filtered the data at 1 Hz, concatenated speed conditions, and re-referenced the scalp channel data to common average.""","- ""After applying these rejection criteria to an adaptive mixture independent component analysis performed on the complete electrode set, we retained an average of 59 ± 17 independent components per subject.""
  - ""We rejected artifact contaminated independent components with flat power spectra (linear slope ≥ -0.06) or spectra matching noise or electromyography sensors (polynomial fit R 2 ≥ 0.99).""","- ""We rejected artifact contaminated independent components with flat power spectra (linear slope ≥ -0.06) or spectra matching noise or electromyography sensors (polynomial fit R 2 ≥ 0.99).""
  - ""we retained an average of 59 ± 17 independent components per subject.""","- ""Subsequently, independent components with equivalent current dipoles explaining greater than 85% of the scalp map were retained, leaving an average of 10 ± 9 components per subject.""
  - ""Next, we modeled ICs as equivalent current dipoles using a three layer boundary element model and subject-specific anatomical magnetic resonance image warped to the Montreal Neurological Institute standard brain (Montreal, Canada) using DIPFIT and Fieldtrip functions in EEGLab""
  - ""We rejected artifact contaminated independent components with flat power spectra (linear slope ≥ -0.06) or spectra matching noise or electromyography sensors (polynomial fit R 2 ≥ 0.99).""","- ""We rejected artifact contaminated independent components with flat power spectra (linear slope ≥ -0.06) or spectra matching noise or electromyography sensors (polynomial fit R 2 ≥ 0.99).""
  - ""Next, we modeled ICs as equivalent current dipoles using a three layer boundary element model and subject-specific anatomical magnetic resonance image warped to the Montreal Neurological Institute standard brain (Montreal, Canada) using DIPFIT and Fieldtrip functions in EEGLab 64 . Subsequently, independent components with equivalent current dipoles explaining greater than 85% of the scalp map were retained, leaving an average of 10 ± 9 components per subject.""",PMC6423113.pdf,"Author/year duplicate (Nordin, A.D. et al., 2019 — 'stepping over obstacles' paper). See flag on PMC7134343.pdf: gait-task label 'Others' in master extraction may belong here rather than to the gait-speed paper. Left as 'Treadmill walking' per review list pending confirmation."
Rapid changes in arousal states of healthy volunteers during robot-assisted gait training: a quantitative time-series electroencephalography study,"Nakanishi, Y., et al., 2014",HA,Treadmill walking,,No,,No ICA,,"- ""All raw EEG data were filtered with a high frequency cut-off at 50 Hz using a wave viewer program (Vital Tracer, Kissei Comtec, Matsumoto, Japan), and then transferred to a multi-bioinformation analyzer program (Bimutas II, Kissei Comtec) for further data processing.""","- ""Distinct artifacts in the EEGs were excluded by visual inspection.""
  - ""All raw EEG data were filtered with a high frequency cut-off at 50 Hz using a wave viewer program (Vital Tracer, Kissei Comtec, Matsumoto, Japan), and then transferred to a multi-bioinformation analyzer program (Bimutas II, Kissei Comtec) for further data processing.""","- ""All raw EEG data were filtered with a high frequency cut-off at 50 Hz using a wave viewer program (Vital Tracer, Kissei Comtec, Matsumoto, Japan), and then transferred to a multi-bioinformation analyzer program (Bimutas II, Kissei Comtec) for further data processing.""
  - ""Distinct artifacts in the EEGs were excluded by visual inspection.""
  - ""The power density of each segment was calculated using fast Fourier transform with a Hamming window""","- ""The power density of each segment was calculated using fast Fourier transform with a Hamming window""
  - ""Distinct artifacts in the EEGs were excluded by visual inspection.""
  - ""All raw EEG data were filtered with a high frequency cut-off at 50 Hz using a wave viewer program (Vital Tracer, Kissei Comtec, Matsumoto, Japan), and then transferred to a multi-bioinformation analyzer program (Bimutas II, Kissei Comtec) for further data processing.""","- ""Distinct artifacts in the EEGs were excluded by visual inspection.""
  - ""All raw EEG data were filtered with a high frequency cut-off at 50 Hz using a wave viewer program (Vital Tracer, Kissei Comtec, Matsumoto, Japan), and then transferred to a multi-bioinformation analyzer program (Bimutas II, Kissei Comtec) for further data processing.""",PMC4022364.pdf,
Decoding the Attentional Demands of Gait through EEG Gamma Band Features,"Costa, Á., et al., 2016",HA & non-PD clinical cohorts,Treadmill walking,0.5 Hz,No,,No ICA,,"- ""First, all data are bandpass filtered between 0.5 and 100 Hz to remove blink artifacts associated to low frequencies [39] and electromyographic (EMG) artifacts associated to high frequencies [40].""
  - ""A 50 Hz Notch filter is also applied to remove the power line interference.""","- ""The experimental conditions have been defined to avoid the maximum amount of noises and the signals are processed with artifact removal algorithms in order to reduce, as much as possible, their contributions and evaluate only the cortical contribution.""
  - ""The amount of reconstructed information from noisy electrodes is the 2.70% of the total available data from both healthy users and patients.""
  - ""The simplest way to deal with these channels is their rejection with the consequent loss of information. In this work, to keep some information from these channels and preserve the data dimensionality and the final number of features extracted, the noisy channels are going to be removed and reconstructed using data from a spatially distributed set of recordings sites by means of spatial position as in [41].""
  - ""The next step is the standardization of the signals in the time domain. To do that it is necessary to find a parameter that represents the brain signals and that does not experience huge variations during a session. Also, an important aspect of this process is to reduce to its minimum the loss of information after applying the standardization processes.""","- ""The simplest way to deal with these channels is their rejection with the consequent loss of information. In this work, to keep some information from these channels and preserve the data dimensionality and the final number of features extracted, the noisy channels are going to be removed and reconstructed using data from a spatially distributed set of recordings sites by means of spatial position as in [41].""
  - ""The amount of reconstructed information from noisy electrodes is the 2.70% of the total available data from both healthy users and patients.""
  - ""The next step is the standardization of the signals in the time domain. To do that it is necessary to find a parameter that represents the brain signals and that does not experience huge variations during a session.""
  - ""The selected parameter to perform this standardization has been developed during this research and for simplifications it is going to be referenced as Maximum Visual Threshold (MV Threshold).""
  - ""The MV Threshold is calculated for each electrode and it can be considered constant during a whole session.""","- ""Using this method no extra information is added to the signal (only redundant information from surrounding electrodes), allowing the recovery of some lost information from a specific scalp area using the information left on the neighbor areas due to volume conduction [42,43].""
  - ""The amount of reconstructed information from noisy electrodes is the 2.70% of the total available data from both healthy users and patients.""
  - ""The simplest way to deal with these channels is their rejection with the consequent loss of information. In this work, to keep some information from these channels and preserve the data dimensionality and the final number of features extracted, the noisy channels are going to be removed and reconstructed using data from a spatially distributed set of recordings sites by means of spatial position as in [41].""","- ""The next step is the standardization of the signals in the time domain. To do that it is necessary to find a parameter that represents the brain signals and that does not experience huge variations during a session.""
  - ""The MV Threshold is calculated for each electrode and it can be considered constant during a whole session.""
  - ""The selected parameter to perform this standardization has been developed during this research and for simplifications it is going to be referenced as Maximum Visual Threshold (MV Threshold).""
  - ""The amount of reconstructed information from noisy electrodes is the 2.70% of the total available data from both healthy users and patients.""
  - ""The simplest way to deal with these channels is their rejection with the consequent loss of information. In this work, to keep some information from these channels and preserve the data dimensionality and the final number of features extracted, the noisy channels are going to be removed and reconstructed using data from a spatially distributed set of recordings sites by means of spatial position as in [41].""",PMC4846000.pdf,
EEG Single-Trial Detection of Gait Speed Changes during Treadmill Walk,"Lisi, G., et al., 2015",HA,Treadmill walking,"1 Hz, Hamming-windowed zerophase FIR filter, order 6761, cutoff frequencies 0.5 Hz and 45.5 Hz attenuated at -6 dB",No,,"Dipole/residual-variance, Other automated",reject IC if r.v. > 10%,"- ""All the 64 channels of the training and test sets are bandpass filtered in the range from 1 Hz to 45 Hz, by means of the EEGLAB function pop_eegfiltnew""
  - ""Subsequently, the signal is resampled at 256 Hz, and used as input both for spatial filter identification (Section 4.2) and epoch extraction (Section 4.3).""
  - ""Bandpass filtering, before the final ICA, is added to the original algorithm because it can improve the performance of ICA algorithms""","- ""4.7 Rejection of artifactual epoch. The spectrograms associated with the retained spatial filters are analysed for abnormal muscle artifact rejection.""
  - ""4.4 Automatic rejection of artifactual spatial filters. The automatic rejection of artifactual spatial filter is performed on the training dataset, while the test set is adjusted accordingly.""
  - ""In order to assess the classifier performance, a 10-fold cross validation procedure is carried out; where, in each repetition, 9 out of 10 sessions are used for training, and the remaining one for testing.""","- ""In order to assess the classifier performance, a 10-fold cross validation procedure is carried out; where, in each repetition, 9 out of 10 sessions are used for training, and the remaining one for testing.""
  - ""In order to decompose different neural and artifactual sources [28,29], Infomax ICA is computed on the preprocessed EEG signal of the training set.""
  - ""In detail, for automatic artifact rejection, the EEG signal is partitioned into small segments of 0.5 s, and a segment is removed if its probability distribution exceeds the average distribution by 5±SD.""
  - ""The residual variance (r.v.) of dipole fitting is used to reject independent components of poor quality (r.v. > 10% [6]).""
  - ""an independent component is automatically rejected if its dipole is located outside of the head, close to the skull or in the cerebellum, utilizing the following heuristics: distance from the center of the spherical model larger than 70% of the sphere radius, or z-coordinate smaller than 0 mm.""
  - ""Finally, in order to explicitly remove components associated with eye movements, we use the ADJUST plugin for EEGLAB [21], an automatic method that combines stereotyped artifact-specific spatial and temporal features, optimized to capture blinks, eye movements, and generic discontinuities.""","- ""The automatic rejection of artifactual spatial filter is performed on the training dataset, while the test set is adjusted accordingly. In particular, a singe dipole source localisation algorithm with a BESA 4-shell spherical model [31], implemented in EEGLAB [32], is run on the independent component scalp maps, in order to extract equivalent current dipoles. The residual variance (r.v.) of dipole fitting is used to reject independent components of poor quality (r.v. > 10% [6]).""
  - ""Furthermore, an independent component is automatically rejected if its dipole is located outside of the head, close to the skull or in the cerebellum, utilizing the following heuristics: distance from the center of the spherical model larger than 70% of the sphere radius, or z-coordinate smaller than 0 mm.""
  - ""Finally, in order to explicitly remove components associated with eye movements, we use the ADJUST plugin for EEGLAB [21], an automatic method that combines stereotyped artifact-specific spatial and temporal features, optimized to capture blinks, eye movements, and generic discontinuities.""","- ""The automatic rejection of artifactual spatial filter is performed on the training dataset, while the test set is adjusted accordingly. In particular, a singe dipole source localisation algorithm with a BESA 4-shell spherical model [31], implemented in EEGLAB [32], is run on the independent component scalp maps, in order to extract equivalent current dipoles. The residual variance (r.v.) of dipole fitting is used to reject independent components of poor quality (r.v. > 10% [6]).""
  - ""Furthermore, an independent component is automatically rejected if its dipole is located outside of the head, close to the skull or in the cerebellum, utilizing the following heuristics: distance from the center of the spherical model larger than 70% of the sphere radius, or z-coordinate smaller than 0 mm.""
  - ""Finally, in order to explicitly remove components associated with eye movements, we use the ADJUST plugin for EEGLAB [21], an automatic method that combines stereotyped artifact-specific spatial and temporal features, optimized to capture blinks, eye movements, and generic discontinuities.""",PMC4416798.pdf,
Neural Correlates of Dual-Task Walking: Effects of Cognitive versus Motor Interference in Young Adults,"Beurskens, R., et al., 2016",HA,Overground walking,0.5 Hz,No,,No ICA (independent component analysis was not mentioned in the paper),,"- ""The EEG signal was bandpass-filtered (0.5 Hz low-cutoff, 45 Hz high-cutoff filter; time constant: 0.32 s; slope: 48 dB/octave) and corrected for artifacts induced by eye movements""","- ""EEG data were registered at 1,024 Hz and analyzed offline using the Brain Vision Analyzer (Brain Products, Munich, Germany). The EEG signal was bandpass-filtered (0.5 Hz low-cutoff, 45 Hz high-cutoff filter; time constant: 0.32 s; slope: 48 dB/octave) and corrected for artifacts induced by eye movements [26]. Following a first careful visual inspection and systematic exclusion criteria, the allowance of semiautomatic artifact rejection was set (gradient: <35 mV; amplitude range: -100 to 100 mV) [27].""","- ""EEG data were registered at 1,024 Hz and analyzed offline using the Brain Vision Analyzer (Brain Products, Munich, Germany). The EEG signal was bandpass-filtered (0.5 Hz low-cutoff, 45 Hz high-cutoff filter; time constant: 0.32 s; slope: 48 dB/octave) and corrected for artifacts induced by eye movements [26]. Following a first careful visual inspection and systematic exclusion criteria, the allowance of semiautomatic artifact rejection was set (gradient: <35 mV; amplitude range: -100 to 100 mV) [27].""
  - ""Subsequently, data were segmented in 1 s segments, analyzed using spectral analysis (FFT) with a resolution of 0.5 Hz, and averaged across a 2-minute trial for each walking condition.""","- ""Following a first careful visual inspection and systematic exclusion criteria, the allowance of semiautomatic artifact rejection was set (gradient: <35 mV; amplitude range: -100 to 100 mV)""
  - ""Subsequently, data were segmented in 1 s segments, analyzed using spectral analysis (FFT) with a resolution of 0.5 Hz, and averaged across a 2-minute trial for each walking condition.""
  - ""The EEG signal was bandpass-filtered (0.5 Hz low-cutoff, 45 Hz high-cutoff filter; time constant: 0.32 s; slope: 48 dB/octave) and corrected for artifacts induced by eye movements""
  - ""EEG data were registered at 1,024 Hz and analyzed offline using the Brain Vision Analyzer (Brain Products, Munich, Germany).""","- ""Subsequently, data were segmented in 1 s segments, analyzed using spectral analysis (FFT) with a resolution of 0.5 Hz, and averaged across a 2-minute trial for each walking condition.""
  - ""Following a first careful visual inspection and systematic exclusion criteria, the allowance of semiautomatic artifact rejection was set (gradient: <35 mV; amplitude range: -100 to 100 mV) [27].""",PMC4855015.pdf,
Independent Component Analysis of Gait-Related Movement Artifact Recorded using EEG Electrodes during Treadmill Walking,"Snyder, K. L., et al., 2015",HA,Treadmill walking,1 Hz,No,,Dipole/residual-variance,dipole residual variance < 15%,"- ""After collection, we first filtered the movement artifact data above a frequency of 1 Hz.""","- ""More research needs to be done on these methods in combination to establish the optimal method for distinguishing neural data from artifact in EEG during human walking.""
  - ""Many procedures have been utilized for removing movement artifact during walking. Using a template regression by subtracting a moving average of the 20 surrounding strides and then performing ICA, Gwin et al. (2010) were able to significantly reduce power at lower frequencies (1.5-8.5 Hz) and recover event related potentials for a visual oddball task for walking at 0.8 and 1.2 m/s. More recent research has shown that this method alone or in combination with wavelet filtering does not remove all movement-induced fluctuations from data at speeds from 0.4-1.6 m/s (Kline et al., 2015). More recently, a more sophisticated algorithm, artifact subspace rejection, has been developed (Mullen et al., 2013).""","- ""More recently, a more sophisticated algorithm, artifact subspace rejection, has been developed (Mullen et al., 2013). This method transforms the data into principal component space and compares the resulting signals to EEG data during quiet standing to identify artifact based on amplitude and variance. However, to function correctly, the thresholds for rejection must be set correctly so that only movement artifact and not neural data are eliminated.""","- ""We performed ICA and dipole fitting on the EEG movement artifact data to quantify how accurately these methods would identify the artifact signals as non-neural.""
  - ""ICA and dipole fitting accurately localized 99% of the independent components in non-neural locations or lacked dipolar characteristics.""
  - ""The remaining 1% of sources had locations within the brain volume and low residual variances, but had topographical maps, power spectra, time courses, and event related spectral perturbations typical of non-neural sources.""
  - ""For components with residual variance (RV) values less than 15% and dipole locations inside the brain, we calculated topographical maps, power frequency spectra, average time course for a stride, and event-related spectral perturbations (ERSP).""
  - ""Our ICA and inverse head modeling results identified 99% of components as not being neural based solely on the basis of location and RV above 15%.""
  - ""The remaining 1% of the components had cortical locations and RVs below 15%.""","- ""For components with residual variance (RV) values less than 15% and dipole locations inside the brain, we calculated topographical maps, power frequency spectra, average time course for a stride, and event-related spectral perturbations (ERSP).""
  - ""The remaining 1% of the components had cortical locations and RVs below 15%.""
  - ""Our ICA and inverse head modeling results identified 99% of components as not being neural based solely on the basis of location and RV above 15%.""",PMC4664645.pdf,
"Motion and Muscle Artifact Removal Validation Using an Electrical Head Phantom, Robotic Motion Platform, and Dual Layer Mobile EEG","Richer, N., et al., 2020",HA,Treadmill walking,1 Hz,Yes,"3 SD, 10 SD, 20 SD, 50 SD",Manual/visual,,"- ""All data were initially high pass filtered at 1 Hz.""","- ""Combining best practice signal processing approaches from aims 1-4, we were able to recover ground-truth artificial electrocortical signals during head motions at a range of walking speeds, and with contrasting levels of muscle activity contamination. High density mobile EEG preprocessed with Artifact Subspace Reconstruction and Canonical Correlation Analysis, in addition to the inclusion of 32 isolated noise and 8 neck EMG channels in the ICA decomposition, recovered source components that closely resembled ground-truth input signals""
  - ""In the combined analyses, we included 32-isolated noise channel recordings (Aim 1) and 8-neck EMG channel recordings (Aim 3) in the ICA decomposition, along with the preprocessed scalp EEG channel data, as separate rows of the input matrix. Because we did not find a conclusive best Artifact Subspace Reconstruction threshold (Aim 2), we applied a 20 standard deviation cutoff from baseline because it has been used and recommended in previous studies""
  - ""Artifact Subspace Reconstruction preprocessing therefore provided a possible advantage for motion artifact removal but showed inconsistencies during muscle artifact removal.""
  - ""Artifact Subspace Reconstruction applied with a 3 standard deviation threshold relative to baseline improved source signal recovery using ICA.""
  - ""Artifact Subspace Reconstruction preprocessing was completed for each gait speed and muscle amplitude condition individually (±0, 100, 300, and 500 µV), but AMICA was performed on the concatenated gait speed conditions for each muscle amplitude condition separately.""","- ""To assess the ability of Artifact Subspace Reconstruction to remove motion and muscle artifacts at contrasting artifact detection thresholds, we ran the preprocessed EEG channel data using Artifact Subspace Reconstruction at four contrasting standard deviation cutoffs from the baseline data, ranging from strict to lenient: 3 standard deviations [10], [22], [23], 10 standard deviations [21], 20 standard deviations [11], [16], and 50 standard deviations [21].""
  - ""Without muscle activity contamination, a 3 standard deviation threshold returned the best matched electrocortical source activity relative to the ground-truth signal.""
  - ""In absence of muscle activity, Artifact Subspace Reconstruction applied with a 3 standard deviation threshold relative to baseline improved source signal recovery using ICA.""
  - ""Because we did not find a conclusive best Artifact Subspace Reconstruction threshold (Aim 2), we applied a 20 standard deviation cutoff from baseline because it has been used and recommended in previous studies [11], [16].""","- ""We then averaged the normalized root mean square error across gait speeds to identify the best-fit component with the lowest root mean square error compared to the ground-truth signal.""
  - ""To find the best-fit component for each condition, we calculated the root mean square of the difference between the temporally aligned time frequency data for each independent component and the ground-truth artificial brain signal in every gait cycle.""
  - ""Specifically, we examined the similarities between the time-frequency features of the input signals and the independent components.""
  - ""By comparing the recovered independent components to our ground-truth input signals, we were able to select the component that best matched the artificial electrocortical source.""","- ""We then averaged the normalized root mean square error across gait speeds to identify the best-fit component with the lowest root mean square error compared to the ground-truth signal.""
  - ""To find the best-fit component for each condition, we calculated the root mean square of the difference between the temporally aligned time frequency data for each independent component and the ground-truth artificial brain signal in every gait cycle.""
  - ""By comparing the recovered independent components to our ground-truth input signals, we were able to select the component that best matched the artificial electrocortical source.""",PMID_32746290.pdf,
